loop_rank,h1_feature_index,birth,death,persistence,num_points_in_loop,top_genres,top_artists,sample_songs
62,40676,1.1609869003295898,2.275434970855713,1.114448070526123,8,,,None — in the victorian era there lived four notable gentlemen who all shared a common surname really how q...; None — the lif with a big wino big as bolla bwoy wid a plan as you can see is he is non ya code name cona s...; None — he s a victim of his own time in his vintage suit and tie he s a casualty dressed to the teeth in th...; None — lermaninoff...; None — michael w smith miscellaneous ashton ashton michael w smith ...
63,40717,1.1599676609039307,2.214975357055664,1.0550076961517334,13,"['finnish power metal', 'melodic metal', 'neo classical metal', 'power metal']",Thunderstone,None — you were infected virus detected...; None — calling all system 13s we re cranking up the temperature brace yourselves it s going to be a bumpy r...; None — all of the lights now drop all of the lights now drop all of the lights now drop all of the lights n...; None — again again got a mixed bag of temperament battery s on ten percent invitation but i never went invi...; None — commencing system check treble online midrange online bass unacceptable increasing bass level bass o...
64,40789,1.1582509279251099,2.2207884788513184,1.0625375509262085,17,"['Unknown genre'], ['funky house', 'funky tech house', 'progressive electro house']","Archie, Nari",None — gold tip gold tip gold tip gold tip gold tip gold tip gold tip gold tip gold tip you know what time ...; None — moving out moving out moving out moving out moving out moving out moving out moving out moving out m...; None — check it out check it out ...; None — yeah you don t have to play this on a tuesday night but check this out this is sunday morning in chu...; None — add some in here 2...
65,40809,1.1578012704849243,2.0688319206237793,0.911030650138855,2,,,None — right lift your foot right off the ground get it 1...; None — it looks something like this...
66,40810,1.1578004360198975,2.0546271800994873,0.8968267440795898,4,"['flamenco guitar', 'rumba']",Jesse Cook,None — okay great okay great that s great...; None — thank you you re very welcome oh yes i know okay thank you very much thank you very much well that s...; Jesse Cook — that s right ...; None — you are welcome...
67,40815,1.1577123403549194,2.280996799468994,1.1232844591140747,5,,,None — feel free to add1...; None — wait a minute i forgot my combination...; None — feel free to add ...; None — feel free to add ...; None — feel free to add ...
68,40821,1.157611608505249,2.205458879470825,1.0478472709655762,2,,,None — apollo 440 electro glide in blue stealth mass in f m...; None — draw it out of dim decay don t crawl out of here until the lunar landing one foot out to touch the g...
69,40842,1.15726637840271,2.2817580699920654,1.1244916915893555,2,,,None — what s that...; None — ayo check this out...
70,40846,1.1571773290634155,2.0221240520477295,0.864946722984314,3,,,None — i know jesus he will fix it for you for he knows just what to do oh whenever you pray let him have h...; None — uh what seems to be the trouble well it runs fine when i m here but whenever i something always goes...; None — jesus will fix it for you jesus will fix it for you all youve got to do is call all you ve got to do...
71,40849,1.157155156135559,2.29803729057312,1.140882134437561,4,,,None — how do they do it they make it look so easy how do they do it they making it look so easy...; None — right lift your foot right off the ground get it 1...; None — tell me how you do that thing go like that...; None — it looks something like this...
72,40853,1.1571046113967896,2.1971678733825684,1.0400632619857788,3,,,None — overhead ether flow moment colours run time so slow slow i ve never seen the arrow of time fly so lo...; None — at the third stroke it will be 10 03 and 40 seconds at the third stroke it will be 10 03 and 50 seco...; None — fast seconds fast minutes fast century fast seconds fast minutes fast century forty four seconds awa...
73,40866,1.156792402267456,2.131791114807129,0.9749987125396729,2,,,None — all right is everybody ready all right is everybody ready ...; None — the portal is now open...
74,40884,1.1564507484436035,2.081754684448242,0.9253039360046387,2,,,None — youre so beautiful in case you didnt know i just had to let you know my love continue to shine you a...; None — thank you2...
75,40886,1.1564280986785889,2.123098134994507,0.966670036315918,2,,,None — to test it dont try unless you come proper dont try to test blocka blocka braahh...; None — test me can t test me none of them man can t test me can t test me none of them man can t test me i ...
76,40896,1.1562271118164062,2.081754684448242,0.9255275726318359,6,"['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']",Boards of Canada,None — thank you...; None — worked it out...; None — awesome awesome to the max...; None — i think you are great i think you are great...; Boards of Canada — thank you ...
77,40906,1.156000018119812,2.0820937156677246,0.9260936975479126,5,,,None — scope scope scope scope electroscope galvanoscope hydroscope polemoscope telescope microscope polari...; None — the alphabet of nations algeria bulgaria cambodia dominica egypt france the gambia hungary iran japa...; None — earth metal water wood earth metal water wood and fire earth metal water wood earth sun stars sky sp...; None — there s antimony arsenic aluminum selenium and hydrogen and oxygen and nitrogen and rhenium and nick...; None — stained glaucous glycerine gold goat clover gold local stocks type food wild national lake flag valv...
78,40940,1.1554144620895386,2.081754684448242,0.9263402223587036,2,,,None — thank you2...; None — thanks for listening...
79,40946,1.1553312540054321,2.19966197013855,1.0443307161331177,15,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz'], ['pub rock', 'rock-and-roll', 'rockabilly'], ['canadian pop', 'canadian rock', 'comic', 'pop rock'], ['cartoon', ""children's music""], ['freakbeat']","Harry Connick, Jr., Robert Gordon, Barenaked Ladies, Spongebob Squarepants, The High Numbers","None — so what bow should i wear today one day we went walking on a windy day emma s hair went crazy so she...; Harry Connick, Jr. — hey hobo man hey dapper dan you ve both got your style but brother you re never fully dressed withou...; Robert Gordon — when i go places i just don t care you d know why if you d see what i wear black slacks pegged fourt...; None — raindrops on roses and whiskers on kittens bright copper kettles and warm woolen mittens brown paper...; Barenaked Ladies — i like my big sister but i don t wanna wear her coat maybe black it may fit perfect but you and i bo..."
80,40947,1.1553272008895874,2.054110050201416,0.8987828493118286,5,,,None — unknown...; None — expected release nov 25 2016...; None — expected release nov 25 2016...; None — unknown...; None — expected release nov 25 2016...
81,40964,1.1549521684646606,2.0426549911499023,0.8877028226852417,2,,,None — in the wave of life i ll be crying at your feet on the corner praying if you re meant to stay inside...; None — waveshaper future vision ...
82,40971,1.154760718345642,2.1705996990203857,1.0158389806747437,2,,,None — the normal pulse rate for human beings in resting condition is about 60 to 100 beats per minute bpm ...; None — i m not in luv with anyone what s wrong with me my heart beats like a bowling ball that slowly turns...
83,41000,1.1539278030395508,2.0877842903137207,0.9338564872741699,4,,,None — it s starting up making ground and closing up the beat is rough kept apart yet close enough don t wo...; None — slight idle like its standing still sit down for a lack up hill ive never felt quite alive gear grin...; None — you can see it tighten...; None — smooth it now ...
84,41002,1.1539196968078613,2.129817247390747,0.9758975505828857,2,,,None — come on gerald ...; None — come on rudeboy now right now...
85,41018,1.153519630432129,2.0186386108398438,0.8651189804077148,2,,,None — one two three four five six seven eight nine nine nine nine ten ten ten ten ten ten ten ten don t be...; None — well this is a test...
86,41022,1.1534066200256348,2.276808261871338,1.1234016418457031,8,,,None — enhance 34 to 46 pull back wait a minute go right stop enhance 57 19 track 45 left stop enhance 15 t...; None — district 12 mainframe laser control begin simulation ...; None — voice saluti a tutti do you read contact information to ground control we re entering first quadrant...; None — ground control to major tom ground control to major tom tale your proteins pills and put your helmet...; None — this is apollo control at 102 hours into the flight of apollo 11 it s grown quite quiet here in miss...
87,41038,1.1529266834259033,2.140066385269165,0.9871397018432617,4,"['art pop', 'deconstructed club', 'dub techno', 'electronica', 'experimental pop', 'float house', 'fluxwork', 'intelligent dance music', 'microhouse', 'minimal techno', 'outsider house', 'uk bass', 'wonky']",Andy Stott,Andy Stott — something about you why don t you trust me ...; None — nothing...; None — nothing...; None — about...
88,41054,1.1525336503982544,2.19966197013855,1.0471283197402954,2,"['cartoon', ""children's music""], ['social media pop', 'teen pop']","Spongebob Squarepants, Jacob Sartorius",Spongebob Squarepants — i d like to call this little number striped sweater the best time to wear a striped sweater is all t...; Jacob Sartorius — chillin with a hair tie no makeup with some sweatpants on you know i can always be that guy you can ...
89,41073,1.1522256135940552,2.286170721054077,1.133945107460022,2,,,None — uh what seems to be the trouble well it runs fine when i m here but whenever i something always goes...; None — everything switch stops and unlocks when my f king bass drops when my f king bass drops the whole bl...
90,41084,1.1520072221755981,2.123098134994507,0.9710909128189087,3,,,None — hooray for hell if it s on the way such a good time for a test how should i do it how should i go wh...; None — to test it dont try unless you come proper dont try to test blocka blocka braahh...; None — yeah who wanna test us ...
91,41129,1.151118516921997,2.129817247390747,0.97869873046875,4,"['chiptune', 'electro house', 'gaming edm', 'speedrun'], ['alternative rock', 'grunge', 'permanent wave', 'rock'], ['instrumental post-rock', 'post-metal', 'post-rock']","Bossfight, Pearl Jam, *shels",None — come on gerald ...; Bossfight — come on ...; Pearl Jam — oh please don t go out on me don t go on me now never acted up before don t go on me now i swear i n...; *shels — hands off me yeahhh hands off me ...
92,41140,1.150933027267456,2.0573208332061768,0.9063878059387207,3,,,None — tim tebow to jesus christ tim tebow to jesus christ cant win by myself but with your help i might ti...; None — tate and go underneath with dry ken ...; None — go for the touchdown yeah the touchdown go for the touchdown yeah the touchdown go for the touchdown...
93,41165,1.1505672931671143,2.157548427581787,1.0069811344146729,5,,,None — if you want to you can get it all if you want to you can get it all if you want to you can get it al...; None — this one s to you...; None — if you want to you can get it all if you want to you can get it all if you want to you can get it al...; None — give it to me...; None — if you want to you can get it all if you want to you can get it all if you want to you can get it al...
94,41171,1.150444746017456,2.0723772048950195,0.9219324588775635,4,"['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']",Boards of Canada,None — thank you...; None — thank you...; None — thanks for listening...; Boards of Canada — thank you ...
95,41214,1.1497713327407837,2.129817247390747,0.9800459146499634,2,,,None — come on gerald ...; None — oh come and grab this thing oh come and grab this thing...
96,41225,1.1495530605316162,2.0589263439178467,0.9093732833862305,6,,,None — now now now now now now you should stay right now should stay right now should stay right now should...; None — because we can can can yes we can can can can can can can can can oh oh oh oh oh oh oh oh oh oh oh o...; None — with you with you with you grow old with you with you with you with you grow old with you you you wi...; None — do it now because you can and i think you should do it now because you can and i told you to do it n...; None — now now now now now now you should stay right now should stay right now should stay right now should...
97,41247,1.149195671081543,2.0758118629455566,0.9266161918640137,2,"['electronic trap'], ['Unknown genre']","Dabow, First Lady",Dabow — that big of a something that big of a something ...; First Lady — what...
98,41274,1.1487314701080322,2.001156806945801,0.8524253368377686,3,,,None — a quark is a fundamental constituent of matter observed in 1968 through deep elastic scatter we foun...; None — edit okay let s begin compound a substance composed of two or more elements chemically combined in d...; None — edit okay let s begin compound a substance composed of two or more elements chemically combined in d...
99,41291,1.1485154628753662,2.0171945095062256,0.8686790466308594,3,"['instrumental math rock', 'math pop', 'math rock', 'sasscore']",Tera Melos,None — erase your brain it s bugged again cover your tracks or drop a bomb instead drench your scarves in p...; Tera Melos — tried to erase what you saved in the front of your mind but it s not what you thought it s a permane...; None — all of my enemies came at once no patience left we had enough i have tried in my way to be right sti...
100,41318,1.148126244544983,2.2088680267333984,1.0607417821884155,2,,,None — thank you2...; None — there is love in you1...
101,41342,1.1474512815475464,2.018333673477173,0.8708823919296265,3,,,None — change about everything does this ...; None — turn all up switch jump switch turn all up switch jump switch...; None — ooh drop all gold everything turn it up switch all all all gold all gold everything ooh drop all gol...
102,41371,1.1468005180358887,2.0244948863983154,0.8776943683624268,4,,,None — oh it s tight like this no it ain t tight like that either i said it is tight like this tight like t...; None — good evening once again ladies and gentlemen my name is maceo behind me there s the rest of the peop...; None — you can see it tighten...; None — you got a tight pair loosen em up go in for a hot reaction cause i m gonna check it out check it out...
103,41425,1.1460868120193481,2.1971678733825684,1.0510810613632202,2,,,None — overhead ether flow moment colours run time so slow slow i ve never seen the arrow of time fly so lo...; None — dilation of chronal aperture in 3 2 1 activate initiate instruments set to yesterday at the speed li...
104,41444,1.1455965042114258,2.259146213531494,1.1135497093200684,3,,,None — thurs...; None — in the future in the future...; None — just about twelve o clock ...
105,41467,1.1452003717422485,2.0221240520477295,0.876923680305481,2,,,None — why do we think simplicity makes any sense where is the simple in nature i dont know then why do we ...; None — uh what seems to be the trouble well it runs fine when i m here but whenever i something always goes...
106,41476,1.145031213760376,2.0284042358398438,0.8833730220794678,5,,,None — untitled2...; None — add some in here 2...; None — feel free to add ...; None — feel free to add ...; None — feel free to add ...
107,41488,1.1448023319244385,2.063707113265991,0.9189047813415527,3,"['alternative dance', 'art pop', 'dream pop', 'electroclash', 'electronica', 'electropop', 'gothenburg indie', 'neo-synthpop', 'new rave', 'swedish electropop', 'swedish synthpop']",The Knife,None — ornithorhynchus anatinus platypus sleeping geology on the isolated shore for millions of years exper...; None — glass of milk standing in between extinction in the cold and explosive radiating growth so the warm ...; The Knife — scissor beak lower mandible flat elastic its an ivory paper cutter lower mandible immersed some dept...
108,41514,1.1443760395050049,2.0750322341918945,0.9306561946868896,6,,,None — add the by clicking on edit ...; None — the have not been added yet...; None — add the by clicking on edit ...; None — feel free to add ...; None — feel free to add ...
109,41517,1.1443538665771484,2.0832102298736572,0.9388563632965088,3,,,None — diese tat ist ihnen immer noch ferner als die fernsten gestirne und doch haben sie dieselbe getan hn...; None — ze sof haderech sof haderech sof haderech sof haderech sof haderech sof haderech sof haderech sof ha...; None — tausend kreuze trgt er ber den tag 365 tage im jahr 12 stunden zeichnen sein gesicht es ist ok aber ...
110,41606,1.142516851425171,2.010457754135132,0.8679409027099609,2,,,None — my one and only advice is co coca cola and ice with lemon slice on my lips i never waste a sip i lik...; None — if you want to make some pickles take your time make some brine put all those little things you love...
111,41609,1.1424530744552612,2.216151237487793,1.0736981630325317,6,"['conscious hip hop', 'hardcore hip hop', 'philly rap', 'political hip hop']",Jedi Mind Tricks,None — appears this could not be fetched ...; None — you were infected virus detected...; Jedi Mind Tricks — duplicate page should be deleted...; None — you are engaged in an unauthorized procedure remain where you are...; None — we cannot continue this unauthorized content unauthorized content...
112,41636,1.1419413089752197,2.243831157684326,1.1018898487091064,2,,,None — now take it now take it now take it...; None — alternative take...
113,41642,1.1418051719665527,2.2822649478912354,1.1404597759246826,5,"['gaming edm', 'pony']",Kadenza,None — sorry i have no victory would you please submit victory to me thank you 01 25 2005...; Kadenza — there isn t any ...; None — not submitted...; None — here s a request from last night...; None — have to be submitted 1...
114,41652,1.1415283679962158,2.0723772048950195,0.9308488368988037,10,"['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']",Boards of Canada,None — thank you...; None — you are welcome...; None — thanks a million a million thanks to you for everything that love could bring you brought me each te...; None — thank you you re very welcome oh yes i know okay thank you very much thank you very much well that s...; None — i gotta thank you just wanna thank you for what you ve done just wanna tell you that you re the one ...
